BTC,bitcoin
ETH,ethereum
USDT,tether
USDC,terrausd
BNB,bnb
BUSD,binance-usd
XRP,xrp
ADA,cardano
SOL,solana
DOT,polkadot-new
DOGE,dogecoin
MATIC,polygon
SHIB,shiba-inu
DAI,multi-collateral-dai
AVAX,avalanche
TRX,tron
ETC,ethereum-classic
WBTC,wrapped-bitcoin
UNI,uniswap
LEO,unus-sed-leo
LTC,litecoin
ATOM,cosmos
LINK,chainlink
FTT,ftx-token
NEAR,near-protocol
LUNC,terra-luna
CRO,cronos
XMR,monero
XLM,stellar
BCH,bitcoin-cash
ALGO,algorand
FLOW,flow
VET,vechain
ICP,internet-computer
FIL,filecoin
EOS,eos
APE,apecoin
MANA,decentraland
XTZ,tezos
SAND,the-sandbox
HBAR,hedera
AAVE,aave
QNT,quant
EGLD,elrond-egld
CHZ,chiliz
AXS,axie-infinity
THETA,theta-network
TUSD,trueusd
BSV,bitcoin-sv
OKB,okb
ZEC,zcash
USDP,paxos-standard
KCS,kucoin-token
BTT,bittorrent-new
XEC,ecash
MIOTA,iota
GRT,the-graph
MKR,maker
HT,huobi-token
USDD,usdd
SNX,synthetix
FTM,fantom
NEO,neo
KLAY,klaytn
USDN,neutrino-usd
RUNE,thorchain
LDO,lido-dao
HNT,helium
CRV,curve-dao-token
CAKE,pancakeswap
PAXG,pax-gold
ENJ,enjin-coin
DASH,dash
NEXO,nexo
BAT,basic-attention-token
WAVES,waves
STX,stacks
ZIL,zilliqa
LRC,loopring
RVN,ravencoin
MINA,mina
BTG,bitcoin-gold
GT,gatetoken
KSM,kusama
DCR,decred
GNO,gnosis
KAVA,kava
TWT,trust-wallet-token
FEI,fei-usd
USTC,terrausd
XEM,nem
CELO,celo
1INCH,1inch
AR,arweave
COMP,compound
CVX,convex-finance
HOT,holo
GUSD,gemini-dollar
YFI,yearn-finance
ANKR,ankr
GALA,gala
QTUM,qtum
FLUX,flux
KNC,kyber-network-crystal-v2
BAL,balancer
CEL,celsius
ROSE,oasis-network
ENS,ethereum-name-service
XDC,xinfin
KDA,kadena
POLY,polymath
TFUEL,theta-fuel
GLM,golem-network-tokens
OP,optimism-ethereum
IOTX,iotex
OMG,omg
BORA,bora
RSR,reserve-rights
ONE,harmony
ZRX,0x
ICX,icon
LPT,livepeer
LUNA,terra-luna-v2
HIVE,hive-blockchain
IOST,iostoken
VGX,voyager-token
AMP,amp
JST,just
AUDIO,audius
BTRST,braintrust
XYM,symbol
STORJ,storj
SRM,serum
ONT,ontology
ZEN,horizen
SC,siacoin
WAXP,wax
IMX,immutable-x
ABBC,abbc-coin
SXP,sxp
SKL,skale-network
GLMR,moonbeam
WOO,wootrade
UMA,uma
MXC,mxc
CHSB,swissborg
SCRT,secret
XCH,chia-network
PLA,playdapp
SLP,smooth-love-potion
DAO,dao-maker
SUSHI,sushiswap
CSPR,casper
DGB,digibyte
NFT,apenft
ELON,dogelon
CVC,civic
BTCST,bitcoin-standard-hashrate-token
EWT,energy-web-token
CEEK,ceek-vr
LSK,lisk
RNDR,render-token
SPELL,spell-token
KEEP,keep-network
EPS,ellipsis
PUNDIX,pundix-new
MED,medibloc
CELR,celer-network
REN,ren
CKB,nervos-network
REQ,request
XNO,nano
UOS,ultra
NU,nucypher
ONG,ontology-gas
INJ,injective-protocol
TRIBE,tribe
CFX,conflux-network
ARDR,ardor
ORBS,orbs
OCEAN,ocean-protocol
PEOPLE,constitutiondao
COTI,coti
POWR,power-ledger
NMR,numeraire
FXS,frax-share
PROM,prom
API3,api3
WIN,wink
CHR,chromia
RLY,rally
SNT,status
FX,function-x
RLC,rlc
DENT,dent
BNT,bancor
DYDX,dydx
SYS,syscoin
XYO,xyo
HEX,hex
WTRX,wrapped-tron
stETH,lido-staked-eth
YOUC,youcash
TON,toncoin
BTCB,bitcoin-bep2
FRAX,frax
XCN,chain
BIT,bitdao
WBNB,wrapped-bnb
BTTOLD,bittorrent
HBTC,huobi-btc
DFI,defichain
XAUT,tether-gold
OSMO,osmosis
MV,gensokishi-metaverse
NXM,nxm
RPL,rocket-pool
CCXX,counos-x
BRISE,bitgert
BNX,binaryx
ERG,ergo
FRTS,fruits
T,threshold
SYN,synapse
WEMIX,wemix
ZEON,zeon
LN,link
SAFE,safe
LUSD,liquity-usd
HUSD,husd
VVS,vvs-finance
SSV,ssv.network
BabyDoge,baby-doge-coin
METIS,metisdao
HUM,humanscape
ASTR,astar
MAID,maidsafecoin
LOOKS,looksrare
EURS,stasis-euro
MVL,mvl
RACA,radio-caca
STG,stargate-finance
PLTC,platoncoin
SAFEMOON,safemoon
CFG,centrifuge
USDX,usdx-[kava]
EVER,everscale
WEVER,wrapped-everscale
MAGIC,magic
vUSDC,venus-usdc
ANY,anyswap
MPL,maple
TEL,telcoin
AVINOC,avinoc
UQC,uquid-coin
ACA,acala
BICO,biconomy
MX,mx-token
CTSI,cartesi
ORC,orbit-chain
NEST,nest-protocol
DAG,constellation
PYR,vulcan-forged-pyr
GAL,project-galaxy
SURE,insure-defi
RAD,radicle
C98,coin98
